Master Category,Subcategory
Apparel,Topwear
Apparel,Bottomwear
Apparel,Innerwear
Apparel,Saree
Apparel,Dress
Apparel,Loungewear and Nightwear
Apparel,Apparel Set
Apparel,Socks
Accessories,Watches
Accessories,Socks
Accessories,Belts
Accessories,Bags
Accessories,Shoe Accessories
Accessories,Jewellery
Accessories,Eyewear
Accessories,Scarves
Accessories,Wallets
Accessories,Headwear
Accessories,Mufflers
Accessories,Ties
Accessories,Accessories
Accessories,Water Bottle
Accessories,Gloves
Accessories,Sports Accessories
Accessories,Cufflinks
Accessories,Stoles
Accessories,Umbrellas
Accessories,Perfumes
Footwear,Shoes
Footwear,Flip Flops
Footwear,Sandal
Personal Care,Fragrance
Personal Care,Lips
Personal Care,Nails
Personal Care,Skin Care
Personal Care,Makeup
Personal Care,Skin
Personal Care,Beauty Accessories
Personal Care,Eyes
Personal Care,Bath and Body
Personal Care,Hair
Personal Care,Perfumes
Free Items,Free Gifts
Free Items,Vouchers
Sporting Goods,Sports Equipment
Sporting Goods,Wristbands
Home,Home Furnishing
